sample_id,source_type,language,static_num_issues,static_high,static_medium,static_low,llm_security_score,llm_vulnerable,llm_num_issues,static_issues_json,llm_issues_json
generated_python_programs_1,llm_single,python,0,0,0,0,5.0,False,0,[],[]
generated_python_programs_2,llm_single,python,0,0,0,0,4.0,False,2,[],"[{""type"": ""Input Validation"", ""severity"": ""medium"", ""description"": ""The program accepts a filename from command line arguments without sanitization. While this is typical for CLI tools, if used in a broader context (e.g., web service), it could lead to path traversal or injection issues.""}, {""type"": ""Error Handling"", ""severity"": ""low"", ""description"": ""The program handles file-related exceptions properly, but does not handle potential UnicodeDecodeError if the file is not UTF-8 encoded.""}]"
generated_python_programs_3,llm_single,python,0,0,0,0,5.0,False,0,[],[]
generated_python_programs_4,llm_single,python,0,0,0,0,4.0,False,3,[],"[{""type"": ""Input Validation"", ""severity"": ""medium"", ""description"": ""The program reads a CSV file path from command line arguments without sanitization or validation beyond file existence. While this is typical for CLI tools, if used in a broader context, it could lead to path traversal or unintended file access.""}, {""type"": ""Error Handling"", ""severity"": ""low"", ""description"": ""The program exits on file not found or IO errors, which is acceptable, but it prints errors to stderr without structured logging or user-friendly messages.""}, {""type"": ""Denial of Service (DoS)"", ""severity"": ""low"", ""description"": ""If the input CSV file is extremely large or malformed, the program may consume significant memory or time, but this is typical for such scripts and not a critical vulnerability.""}]"
generated_python_programs_5,llm_single,python,0,0,0,0,5.0,False,0,[],[]
generated_python_programs_6,llm_single,python,0,0,0,0,5.0,False,0,[],[]
generated_python_programs_7,llm_single,python,0,0,0,0,5.0,False,0,[],[]
generated_python_programs_8,llm_single,python,0,0,0,0,5.0,False,0,[],[]
generated_python_programs_9,llm_single,python,0,0,0,0,5.0,False,0,[],[]
generated_python_programs_10,llm_single,python,0,0,0,0,5.0,False,0,[],[]
generated_python_programs_11,llm_single,python,0,0,0,0,5.0,False,0,[],[]
generated_python_programs_12,llm_single,python,0,0,0,0,5.0,False,0,[],[]
generated_python_programs_13,llm_single,python,0,0,0,0,5.0,False,0,[],[]
generated_python_programs_14,llm_single,python,0,0,0,0,5.0,False,0,[],[]
generated_python_programs_15,llm_single,python,0,0,0,0,4.0,False,2,[],"[{""type"": ""Input Validation"", ""severity"": ""medium"", ""description"": ""The program reads a file path from command line arguments without sanitization or validation. While this is typical for CLI tools, if used in a broader context, it could lead to path traversal or unintended file access.""}, {""type"": ""Error Handling"", ""severity"": ""low"", ""description"": ""The program exits on file read errors, which is acceptable for CLI tools, but it prints error messages directly to stderr without structured logging.""}]"
